Product_Name,Brand,Rating,Monthly_Sales,Price_SAR,Old_Price_SAR,Offer,Shipping,Competition_Count,Category_Main,Category_Sub,Market_Competition,Brand_Class,Is_Rated,Has_Sales,Discount,Weight_Est,Shipping_Cost,Referral_Fee_Rate,Referral_Fee_Value,Price_After_Discount,Price_Drop,Final_Cost,Net_Revenue,Is_Profitable,Competition_Level,Market_Competition_Level,Supplier_Count,Avg_Supplier_Score,Avg_Entry_Cost,Avg_Price_Range,Supply_Index,Cost_Index,Category_Level,Attractiveness,Demand_Index
Royalford Nonstick Frypan 22cm,royalford,4.1,,28.0,28.0,20% off,FREE delivery,0,Kitchen & Appliances,Kitchen Cookware,10000,midrange,1,0,0.2,2.5,29.0,14.0,3.9200000000000004,22.400000000000002,0.0,51.400000000000006,18.48,1,no competition,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
Utopia Cast Iron Skillet Set 3-piece,utopia,4.3,50.0,198.49,220.0,20% off,FREE delivery,6,Kitchen & Appliances,Kitchen Cookware,10000,generic,1,1,0.2,2.5,29.0,14.0,27.788600000000002,158.79200000000003,21.50999999999999,187.79200000000003,131.00340000000003,1,medium,medium,0.6200000000000001,0.6493559846299144,0.256952130176747,0.008553923689440579,0.7189459700610537,0.743047869823253,Highly Attractive,0.6084956007096382,0.42474362186086545
"Classic Facial tissue box, 70 sheets X 2 ply, bundle of 36 boxes",fine,4.6,100.0,59.95,107.95,20% off promotion available,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.2,1.0,20.5,10.0,5.995000000000001,47.96000000000001,48.0,68.46000000000001,41.965,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
"Disposable Face Towels,Oversize NAHESO",naheso,4.5,,75.38,75.38,20% off promotion available,FREE delivery,0,Supermarket,Face Towels,40000,generic,1,0,0.2,1.0,20.5,10.0,7.538,60.304,0.0,80.804,52.766000000000005,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
"Deluxe, Highly Absorbent Toilet Paper",fine,4.7,3000.0,28.95,49.0,20% off promotion available,FREE delivery,0,Supermarket,Toilet Paper,40000,generic,1,1,0.2,1.0,20.5,10.0,2.895,23.16,20.05,43.66,20.265,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
3 ply Facial Tissues - Pack of 50 boxes,govyy,4.4,1000.0,99.9,120.0,Limited time deal,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.0,1.0,20.5,10.0,9.990000000000002,99.9,20.099999999999994,120.4,89.91,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Silk Cube Soft Facial Tissue,kleenex,4.5,200.0,4.84,6.0,20% off promotion available,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.2,1.0,20.5,10.0,0.484,3.872,1.1600000000000001,24.372,3.388,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Fluffy Facial Tissues 70 Boxes,fine,4.6,600.0,109.95,168.95,20% off promotion available,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.2,1.0,20.5,10.0,10.995000000000001,87.96000000000001,58.999999999999986,108.46000000000001,76.965,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
"Wall-hanging tissues 5-Ply,Govyy",govyy,4.5,3000.0,89.9,115.0,Limited time deal,FREE delivery,2,Supermarket,Hanging Tissues,40000,generic,1,1,0.0,1.0,20.5,10.0,8.99,89.9,25.099999999999994,110.4,80.91000000000001,1,low,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Original Facial Tissue Box,kleenex,4.6,400.0,11.98,20.25,Limited time deal,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.0,1.0,20.5,10.0,1.1980000000000002,11.98,8.27,32.480000000000004,10.782,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Beauty Cube Facial Tissues,kleenex,3.4,,4.95,6.25,Limited time deal,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,0,0.0,1.0,20.5,10.0,0.49500000000000005,4.95,1.2999999999999998,25.45,4.455,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
Ultra Soft Tissues Pack,kleenex,4.6,400.0,79.25,129.38,Limited time deal,FREE delivery,0,Supermarket,Facial Tissues,40000,generic,1,1,0.0,1.0,20.5,10.0,7.925000000000001,79.25,50.129999999999995,99.75,71.325,1,no competition,high,0.29,0.5301931365184034,0.29341164486823673,0.0,0.6950537611468903,0.7065883551317633,Attractive,0.5592442733024601,0.3468790960471601
